encoded_length	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	16		22
decode	01	01010100000100100011001110010001001011110110001001101001111011010000110000010100111101110100101000100100010000000111010101010101	0	54123391-2f62-69ed-0c14-f74a24407555
encode	01	2709c6cd-0b83-a07a-da5b-33d6b6c16775		00100111000010011100011011001101000010111000001110100000011110101101101001011011001100111101011010110110110000010110011101110101
decode	01	00100111000010011100011011001101000010111000001110100000011110101101101001011011001100111101011010110110110000010110011101110101	0	2709c6cd-0b83-a07a-da5b-33d6b6c16775
encode	01	89005543-e268-b1a7-609e-052eaac057e4		10001001000000000101010101000011111000100110100010110001101001110110000010011110000001010010111010101010110000000101011111100100
decode	01	10001001000000000101010101000011111000100110100010110001101001110110000010011110000001010010111010101010110000000101011111100100	0	89005543-e268-b1a7-609e-052eaac057e4
encode	01	2097415d-59f3-5e3c-3947-683e0906b93e		00100000100101110100000101011101010110011111001101011110001111000011100101000111011010000011111000001001000001101011100100111110
decode	01	00100000100101110100000101011101010110011111001101011110001111000011100101000111011010000011111000001001000001101011100100111110	0	2097415d-59f3-5e3c-3947-683e0906b93e
encode	01	82a6e9ee-257e-9203-c997-d58a57b07586		10000010101001101110100111101110001001010111111010010010000000111100100110010111110101011000101001010111101100000111010110000110
decode	01	10000010101001101110100111101110001001010111111010010010000000111100100110010111110101011000101001010111101100000111010110000110	0	82a6e9ee-257e-9203-c997-d58a57b07586
encode	01	f5de361f-2d1b-b6c5-12e9-9ae579b16a1a		11110101110111100011011000011111001011010001101110110110110001010001001011101001100110101110010101111001101100010110101000011010
decode	01	11110101110111100011011000011111001011010001101110110110110001010001001011101001100110101110010101111001101100010110101000011010	0	f5de361f-2d1b-b6c5-12e9-9ae579b16a1a
encode	01	38f7df74-683b-3021-59e5-b3338569e89c		00111000111101111101111101110100011010000011101100110000001000010101100111100101101100110011001110000101011010011110100010011100
decode	01	00111000111101111101111101110100011010000011101100110000001000010101100111100101101100110011001110000101011010011110100010011100	0	38f7df74-683b-3021-59e5-b3338569e89c
encode	01	aee016c8-b294-3680-28fc-cad4c2bd9279		10101110111000000001011011001000101100101001010000110110100000000010100011111100110010101101010011000010101111011001001001111001
decode	01	10101110111000000001011011001000101100101001010000110110100000000010100011111100110010101101010011000010101111011001001001111001	0	aee016c8-b294-3680-28fc-cad4c2bd9279
encode	01	919d71d9-6303-8aa6-e9c6-f54d63c4f495		10010001100111010111000111011001011000110000001110001010101001101110100111000110111101010100110101100011110001001111010010010101
decode	01	10010001100111010111000111011001011000110000001110001010101001101110100111000110111101010100110101100011110001001111010010010101	0	919d71d9-6303-8aa6-e9c6-f54d63c4f495
encode	01	9642d3dd-a69f-c184-1248-def6ce6b493f		10010110010000101101001111011101101001101001111111000001100001000001001001001000110111101111011011001110011010110100100100111111
decode	01	10010110010000101101001111011101101001101001111111000001100001000001001001001000110111101111011011001110011010110100100100111111	0	9642d3dd-a69f-c184-1248-def6ce6b493f
encode	01	bbff865f-388e-14cd-49a9-498851eb707e		10111011111111111000011001011111001110001000111000010100110011010100100110101001010010011000100001010001111010110111000001111110
decode	01	10111011111111111000011001011111001110001000111000010100110011010100100110101001010010011000100001010001111010110111000001111110	0	bbff865f-388e-14cd-49a9-498851eb707e
encode	01	cf7e163b-cf6c-b7d8-dd05-dce2fb168e1b		11001111011111100001011000111011110011110110110010110111110110001101110100000101110111001110001011111011000101101000111000011011
decode	01	11001111011111100001011000111011110011110110110010110111110110001101110100000101110111001110001011111011000101101000111000011011	0	cf7e163b-cf6c-b7d8-dd05-dce2fb168e1b
encode	01	89626b8a-901f-eb30-e492-1decbf61b5a6		10001001011000100110101110001010100100000001111111101011001100001110010010010010000111011110110010111111011000011011010110100110
decode	01	10001001011000100110101110001010100100000001111111101011001100001110010010010010000111011110110010111111011000011011010110100110	0	89626b8a-901f-eb30-e492-1decbf61b5a6
encode	01	0d36adf7-f6eb-6bf7-967a-65580e28c3ed		00001101001101101010110111110111111101101110101101101011111101111001011001111010011001010101100000001110001010001100001111101101
decode	01	00001101001101101010110111110111111101101110101101101011111101111001011001111010011001010101100000001110001010001100001111101101	0	0d36adf7-f6eb-6bf7-967a-65580e28c3ed
encode	01	4ec22480-949d-5a86-702c-434356154932		01001110110000100010010010000000100101001001110101011010100001100111000000101100010000110100001101010110000101010100100100110010
decode	01	01001110110000100010010010000000100101001001110101011010100001100111000000101100010000110100001101010110000101010100100100110010	0	4ec22480-949d-5a86-702c-434356154932
encode	01	8c3f6411-3050-d7ef-2d8e-76a6c1d8d4e0		10001100001111110110010000010001001100000101000011010111111011110010110110001110011101101010011011000001110110001101010011100000
decode	01	10001100001111110110010000010001001100000101000011010111111011110010110110001110011101101010011011000001110110001101010011100000	0	8c3f6411-3050-d7ef-2d8e-76a6c1d8d4e0
encode	01	22e58c03-4846-3f1b-2694-1f7d76079d2d		00100010111001011000110000000011010010000100011000111111000110110010011010010100000111110111110101110110000001111001110100101101
decode	01	00100010111001011000110000000011010010000100011000111111000110110010011010010100000111110111110101110110000001111001110100101101	0	22e58c03-4846-3f1b-2694-1f7d76079d2d
encode	01	be9125b0-0b11-4f09-855f-900ee7ab7d02		10111110100100010010010110110000000010110001000101001111000010011000010101011111100100000000111011100111101010110111110100000010
decode	01	10111110100100010010010110110000000010110001000101001111000010011000010101011111100100000000111011100111101010110111110100000010	0	be9125b0-0b11-4f09-855f-900ee7ab7d02
encode	01	84d1a797-34d1-47cb-e507-6d363deb8215		10000100110100011010011110010111001101001101000101000111110010111110010100000111011011010011011000111101111010111000001000010101
decode	01	10000100110100011010011110010111001101001101000101000111110010111110010100000111011011010011011000111101111010111000001000010101	0	84d1a797-34d1-47cb-e507-6d363deb8215
encode	01	ea53c8d6-e64e-1bfa-7ed9-f4ede2c97824		11101010010100111100100011010110111001100100111000011011111110100111111011011001111101001110110111100010110010010111100000100100
decode	01	11101010010100111100100011010110111001100100111000011011111110100111111011011001111101001110110111100010110010010111100000100100	0	ea53c8d6-e64e-1bfa-7ed9-f4ede2c97824
encode	01	6c19a64c-f49b-6087-efe5-468a765cc4cc		01101100000110011010011001001100111101001001101101100000100001111110111111100101010001101000101001110110010111001100010011001100
decode	01	01101100000110011010011001001100111101001001101101100000100001111110111111100101010001101000101001110110010111001100010011001100	0	6c19a64c-f49b-6087-efe5-468a765cc4cc
encode	01	e437789a-8ccd-5593-7606-f29e3d90ad1f		11100100001101110111100010011010100011001100110101010101100100110111011000000110111100101001111000111101100100001010110100011111
decode	01	11100100001101110111100010011010100011001100110101010101100100110111011000000110111100101001111000111101100100001010110100011111	0	e437789a-8ccd-5593-7606-f29e3d90ad1f
encode	01	0ae814d0-54aa-751f-f990-1bb55bb480af		00001010111010000001010011010000010101001010101001110101000111111111100110010000000110111011010101011011101101001000000010101111
decode	01	00001010111010000001010011010000010101001010101001110101000111111111100110010000000110111011010101011011101101001000000010101111	0	0ae814d0-54aa-751f-f990-1bb55bb480af
encode	01	cdd4eec0-7965-dfb8-a95b-0fa482970390		11001101110101001110111011000000011110010110010111011111101110001010100101011011000011111010010010000010100101110000001110010000
decode	01	11001101110101001110111011000000011110010110010111011111101110001010100101011011000011111010010010000010100101110000001110010000	0	cdd4eec0-7965-dfb8-a95b-0fa482970390
encode	01	ae30b326-b476-30dd-27f0-88808821647c		10101110001100001011001100100110101101000111011000110000110111010010011111110000100010001000000010001000001000010110010001111100
decode	01	10101110001100001011001100100110101101000111011000110000110111010010011111110000100010001000000010001000001000010110010001111100	0	ae30b326-b476-30dd-27f0-88808821647c
encode	01	6b7c9daf-80a2-5844-17a2-8bc68e987fbe		01101011011111001001110110101111100000001010001001011000010001000001011110100010100010111100011010001110100110000111111110111110
decode	01	01101011011111001001110110101111100000001010001001011000010001000001011110100010100010111100011010001110100110000111111110111110	0	6b7c9daf-80a2-5844-17a2-8bc68e987fbe
encode	01	ea836478-5ab3-0064-ce74-2ac4d3a2662b		11101010100000110110010001111000010110101011001100000000011001001100111001110100001010101100010011010011101000100110011000101011
decode	01	11101010100000110110010001111000010110101011001100000000011001001100111001110100001010101100010011010011101000100110011000101011	0	ea836478-5ab3-0064-ce74-2ac4d3a2662b
encode	01	8d8ec17c-3718-d0dd-66ed-96ec28cc22a7		10001101100011101100000101111100001101110001100011010000110111010110011011101101100101101110110000101000110011000010001010100111
decode	01	10001101100011101100000101111100001101110001100011010000110111010110011011101101100101101110110000101000110011000010001010100111	0	8d8ec17c-3718-d0dd-66ed-96ec28cc22a7
encode	01	6fa85b0c-fbbb-4e14-a2bd-d8f7ae9333c9		01101111101010000101101100001100111110111011101101001110000101001010001010111101110110001111011110101110100100110011001111001001
decode	01	01101111101010000101101100001100111110111011101101001110000101001010001010111101110110001111011110101110100100110011001111001001	0	6fa85b0c-fbbb-4e14-a2bd-d8f7ae9333c9
encode	01	86fcdd52-3aab-cba5-f309-dac66bf365bb		10000110111111001101110101010010001110101010101111001011101001011111001100001001110110101100011001101011111100110110010110111011
decode	01	10000110111111001101110101010010001110101010101111001011101001011111001100001001110110101100011001101011111100110110010110111011	0	86fcdd52-3aab-cba5-f309-dac66bf365bb
encode	01	bd840609-bef5-cf40-5bcb-4cc0629840eb		10111101100001000000011000001001101111101111010111001111010000000101101111001011010011001100000001100010100110000100000011101011
decode	01	10111101100001000000011000001001101111101111010111001111010000000101101111001011010011001100000001100010100110000100000011101011	0	bd840609-bef5-cf40-5bcb-4cc0629840eb
encode	01	bd892fde-ac10-982d-0f1e-3ef1efa6f6d1		10111101100010010010111111011110101011000001000010011000001011010000111100011110001111101111000111101111101001101111011011010001
decode	01	10111101100010010010111111011110101011000001000010011000001011010000111100011110001111101111000111101111101001101111011011010001	0	bd892fde-ac10-982d-0f1e-3ef1efa6f6d1
encode	01	7b0af567-221e-836b-1bc6-559aba49ae47		01111011000010101111010101100111001000100001111010000011011010110001101111000110010101011001101010111010010010011010111001000111
decode	01	01111011000010101111010101100111001000100001111010000011011010110001101111000110010101011001101010111010010010011010111001000111	0	7b0af567-221e-836b-1bc6-559aba49ae47
encode	01	e68a1ccf-f5f8-33b0-45ba-18453e1aa739		11100110100010100001110011001111111101011111100000110011101100000100010110111010000110000100010100111110000110101010011100111001
decode	01	11100110100010100001110011001111111101011111100000110011101100000100010110111010000110000100010100111110000110101010011100111001	0	e68a1ccf-f5f8-33b0-45ba-18453e1aa739
encode	01	5925b211-484a-64bd-a9e5-d8a2a6871afc		01011001001001011011001000010001010010000100101001100100101111011010100111100101110110001010001010100110100001110001101011111100
decode	01	01011001001001011011001000010001010010000100101001100100101111011010100111100101110110001010001010100110100001110001101011111100	0	5925b211-484a-64bd-a9e5-d8a2a6871afc
encode	01	665ddcab-ebce-ed9e-92db-001e23e161cb		01100110010111011101110010101011111010111100111011101101100111101001001011011011000000000001111000100011111000010110000111001011
decode	01	01100110010111011101110010101011111010111100111011101101100111101001001011011011000000000001111000100011111000010110000111001011	0	665ddcab-ebce-ed9e-92db-001e23e161cb
encode	01	9eac5b8a-3c98-9a3a-1c77-9ca7da09a770		10011110101011000101101110001010001111001001100010011010001110100001110001110111100111001010011111011010000010011010011101110000
decode	01	10011110101011000101101110001010001111001001100010011010001110100001110001110111100111001010011111011010000010011010011101110000	0	9eac5b8a-3c98-9a3a-1c77-9ca7da09a770
encode	01	ead1839e-aa06-bfc4-7b7a-6cc57b5116fc		11101010110100011000001110011110101010100000011010111111110001000111101101111010011011001100010101111011010100010001011011111100
decode	01	11101010110100011000001110011110101010100000011010111111110001000111101101111010011011001100010101111011010100010001011011111100	0	ead1839e-aa06-bfc4-7b7a-6cc57b5116fc
encode	01	9a6dbad9-1766-b565-5f8a-9f0a65f3e032		10011010011011011011101011011001000101110110011010110101011001010101111110001010100111110000101001100101111100111110000000110010
decode	01	10011010011011011011101011011001000101110110011010110101011001010101111110001010100111110000101001100101111100111110000000110010	0	9a6dbad9-1766-b565-5f8a-9f0a65f3e032
encode	01	6416680c-448c-028e-61d8-ab0c632344d3		01100100000101100110100000001100010001001000110000000010100011100110000111011000101010110000110001100011001000110100010011010011
decode	01	01100100000101100110100000001100010001001000110000000010100011100110000111011000101010110000110001100011001000110100010011010011	0	6416680c-448c-028e-61d8-ab0c632344d3
encode	01	ab21e2a2-a29a-7927-570e-bb2573380779		10101011001000011110001010100010101000101001101001111001001001110101011100001110101110110010010101110011001110000000011101111001
decode	01	10101011001000011110001010100010101000101001101001111001001001110101011100001110101110110010010101110011001110000000011101111001	0	ab21e2a2-a29a-7927-570e-bb2573380779
encode	01	6d5f068d-93dd-3fdd-0b51-a6a8a1c0e79b		01101101010111110000011010001101100100111101110100111111110111010000101101010001101001101010100010100001110000001110011110011011
decode	01	01101101010111110000011010001101100100111101110100111111110111010000101101010001101001101010100010100001110000001110011110011011	0	6d5f068d-93dd-3fdd-0b51-a6a8a1c0e79b
encode	01	a970b69e-6035-adb2-3dfa-5e6541452aa6		10101001011100001011011010011110011000000011010110101101101100100011110111111010010111100110010101000001010001010010101010100110
decode	01	10101001011100001011011010011110011000000011010110101101101100100011110111111010010111100110010101000001010001010010101010100110	0	a970b69e-6035-adb2-3dfa-5e6541452aa6
encode	01	fa7f9608-29c4-4808-71dc-2d1f3b317369		11111010011111111001011000001000001010011100010001001000000010000111000111011100001011010001111100111011001100010111001101101001
decode	01	11111010011111111001011000001000001010011100010001001000000010000111000111011100001011010001111100111011001100010111001101101001	0	fa7f9608-29c4-4808-71dc-2d1f3b317369
encode	01	c7979f84-7167-089a-5439-e6fa00f8171f		11000111100101111001111110000100011100010110011100001000100110100101010000111001111001101111101000000000111110000001011100011111
decode	01	11000111100101111001111110000100011100010110011100001000100110100101010000111001111001101111101000000000111110000001011100011111	0	c7979f84-7167-089a-5439-e6fa00f8171f
encode	01	66668faf-8eed-795c-d9e4-d61d110bb831		01100110011001101000111110101111100011101110110101111001010111001101100111100100110101100001110100010001000010111011100000110001
decode	01	01100110011001101000111110101111100011101110110101111001010111001101100111100100110101100001110100010001000010111011100000110001	0	66668faf-8eed-795c-d9e4-d61d110bb831
encode	01	10451216-8546-a1c9-9c6d-1d62ae393118		00010000010001010001001000010110100001010100011010100001110010011001110001101101000111010110001010101110001110010011000100011000
decode	01	00010000010001010001001000010110100001010100011010100001110010011001110001101101000111010110001010101110001110010011000100011000	0	10451216-8546-a1c9-9c6d-1d62ae393118
encode	01	942f7575-1ce3-9456-14a7-a236124a4a24		10010100001011110111010101110101000111001110001110010100010101100001010010100111101000100011011000010010010010100100101000100100
decode	01	10010100001011110111010101110101000111001110001110010100010101100001010010100111101000100011011000010010010010100100101000100100	0	942f7575-1ce3-9456-14a7-a236124a4a24
encode	01	808eee08-18f5-59f5-b64c-195cb26689eb		10000000100011101110111000001000000110001111010101011001111101011011011001001100000110010101110010110010011001101000100111101011
decode	01	10000000100011101110111000001000000110001111010101011001111101011011011001001100000110010101110010110010011001101000100111101011	0	808eee08-18f5-59f5-b64c-195cb26689eb
encode	01	8f5b1d50-fd5c-91c1-b9a5-e57e52e03d36		10001111010110110001110101010000111111010101110010010001110000011011100110100101111001010111111001010010111000000011110100110110
decode	01	10001111010110110001110101010000111111010101110010010001110000011011100110100101111001010111111001010010111000000011110100110110	0	8f5b1d50-fd5c-91c1-b9a5-e57e52e03d36
encode	01	5ac4f616-ecc4-a17b-07fd-789fe7c461bc		01011010110001001111011000010110111011001100010010100001011110110000011111111101011110001001111111100111110001000110000110111100
decode	01	01011010110001001111011000010110111011001100010010100001011110110000011111111101011110001001111111100111110001000110000110111100	0	5ac4f616-ecc4-a17b-07fd-789fe7c461bc
encode	01	0da2d079-1040-acbc-44e3-39f390bf23a0		00001101101000101101000001111001000100000100000010101100101111000100010011100011001110011111001110010000101111110010001110100000
decode	01	00001101101000101101000001111001000100000100000010101100101111000100010011100011001110011111001110010000101111110010001110100000	0	0da2d079-1040-acbc-44e3-39f390bf23a0
encode	01	72ed811a-f8df-882b-9fac-8d2c9a9e21d7		01110010111011011000000100011010111110001101111110001000001010111001111110101100100011010010110010011010100111100010000111010111
decode	01	01110010111011011000000100011010111110001101111110001000001010111001111110101100100011010010110010011010100111100010000111010111	0	72ed811a-f8df-882b-9fac-8d2c9a9e21d7
encode	01	58baae59-99e4-25fd-15be-e4baa1f68b57		01011000101110101010111001011001100110011110010000100101111111010001010110111110111001001011101010100001111101101000101101010111
decode	01	01011000101110101010111001011001100110011110010000100101111111010001010110111110111001001011101010100001111101101000101101010111	0	58baae59-99e4-25fd-15be-e4baa1f68b57
encode	01	b5d0e200-c6d1-1be4-aca3-1daffd357419		10110101110100001110001000000000110001101101000100011011111001001010110010100011000111011010111111111101001101010111010000011001
decode	01	10110101110100001110001000000000110001101101000100011011111001001010110010100011000111011010111111111101001101010111010000011001	0	b5d0e200-c6d1-1be4-aca3-1daffd357419
encode	01	e09a23ed-c2df-eb5f-579a-8e2280a0c22e		11100000100110100010001111101101110000101101111111101011010111110101011110011010100011100010001010000000101000001100001000101110
decode	01	11100000100110100010001111101101110000101101111111101011010111110101011110011010100011100010001010000000101000001100001000101110	0	e09a23ed-c2df-eb5f-579a-8e2280a0c22e
encode	01	11cf28d2-843f-233f-dbdd-5b5abdec9e51		00010001110011110010100011010010100001000011111100100011001111111101101111011101010110110101101010111101111011001001111001010001
decode	01	00010001110011110010100011010010100001000011111100100011001111111101101111011101010110110101101010111101111011001001111001010001	0	11cf28d2-843f-233f-dbdd-5b5abdec9e51
encode	01	63f0dada-1a5d-2025-24c5-3fee5a5dcc5b		01100011111100001101101011011010000110100101110100100000001001010010010011000101001111111110111001011010010111011100110001011011
decode	01	01100011111100001101101011011010000110100101110100100000001001010010010011000101001111111110111001011010010111011100110001011011	0	63f0dada-1a5d-2025-24c5-3fee5a5dcc5b
encode	01	a4e7e237-127b-0707-6ded-2ee619eaf0ef		10100100111001111110001000110111000100100111101100000111000001110110110111101101001011101110011000011001111010101111000011101111
decode	01	10100100111001111110001000110111000100100111101100000111000001110110110111101101001011101110011000011001111010101111000011101111	0	a4e7e237-127b-0707-6ded-2ee619eaf0ef
encode	01	a34f06df-9677-bb5c-3c34-fdf974749207		10100011010011110000011011011111100101100111011110111011010111000011110000110100111111011111100101110100011101001001001000000111
decode	01	10100011010011110000011011011111100101100111011110111011010111000011110000110100111111011111100101110100011101001001001000000111	0	a34f06df-9677-bb5c-3c34-fdf974749207
encode	01	ef8a0c87-4dc1-aeef-72eb-d05be9bebebc		11101111100010100000110010000111010011011100000110101110111011110111001011101011110100000101101111101001101111101011111010111100
decode	01	11101111100010100000110010000111010011011100000110101110111011110111001011101011110100000101101111101001101111101011111010111100	0	ef8a0c87-4dc1-aeef-72eb-d05be9bebebc
encode	01	7537c4d6-0227-2fda-8533-d1113c1d08ad		01110101001101111100010011010110000000100010011100101111110110101000010100110011110100010001000100111100000111010000100010101101
decode	01	01110101001101111100010011010110000000100010011100101111110110101000010100110011110100010001000100111100000111010000100010101101	0	7537c4d6-0227-2fda-8533-d1113c1d08ad
encode	01	1dfd4f8b-25e4-5a14-0041-5706e602ae29		00011101111111010100111110001011001001011110010001011010000101000000000001000001010101110000011011100110000000101010111000101001
decode	01	00011101111111010100111110001011001001011110010001011010000101000000000001000001010101110000011011100110000000101010111000101001	0	1dfd4f8b-25e4-5a14-0041-5706e602ae29
encode	01	961d2d6e-f5c3-e2a6-f587-975e98688e8c		10010110000111010010110101101110111101011100001111100010101001101111010110000111100101110101111010011000011010001000111010001100
decode	01	10010110000111010010110101101110111101011100001111100010101001101111010110000111100101110101111010011000011010001000111010001100	0	961d2d6e-f5c3-e2a6-f587-975e98688e8c
encode	01	d733c687-fdd8-6719-ffe1-fd209790d882		11010111001100111100011010000111111111011101100001100111000110011111111111100001111111010010000010010111100100001101100010000010
decode	01	11010111001100111100011010000111111111011101100001100111000110011111111111100001111111010010000010010111100100001101100010000010	0	d733c687-fdd8-6719-ffe1-fd209790d882
encode	01	b3290b40-1eb0-b5b6-b9a3-5784fdd788df		10110011001010010000101101000000000111101011000010110101101101101011100110100011010101111000010011111101110101111000100011011111
decode	01	10110011001010010000101101000000000111101011000010110101101101101011100110100011010101111000010011111101110101111000100011011111	0	b3290b40-1eb0-b5b6-b9a3-5784fdd788df
encode	01	825b6a87-2e8b-dac0-465e-0de54f317503		10000010010110110110101010000111001011101000101111011010110000000100011001011110000011011110010101001111001100010111010100000011
decode	01	10000010010110110110101010000111001011101000101111011010110000000100011001011110000011011110010101001111001100010111010100000011	0	825b6a87-2e8b-dac0-465e-0de54f317503
encode	01	2f67b3c0-3124-f032-0286-a849f00610a6		00101111011001111011001111000000001100010010010011110000001100100000001010000110101010000100100111110000000001100001000010100110
decode	01	00101111011001111011001111000000001100010010010011110000001100100000001010000110101010000100100111110000000001100001000010100110	0	2f67b3c0-3124-f032-0286-a849f00610a6
encode	01	d2ce05af-3551-d924-9f06-5f1384dc0c80		11010010110011100000010110101111001101010101000111011001001001001001111100000110010111110001001110000100110111000000110010000000
decode	01	11010010110011100000010110101111001101010101000111011001001001001001111100000110010111110001001110000100110111000000110010000000	0	d2ce05af-3551-d924-9f06-5f1384dc0c80
encode	01	e562182d-eb04-17f2-6ae9-3820de2bd941		11100101011000100001100000101101111010110000010000010111111100100110101011101001001110000010000011011110001010111101100101000001
decode	01	11100101011000100001100000101101111010110000010000010111111100100110101011101001001110000010000011011110001010111101100101000001	0	e562182d-eb04-17f2-6ae9-3820de2bd941
encode	01	d8bc5ae3-b7ba-269e-4264-20494077d6f4		11011000101111000101101011100011101101111011101000100110100111100100001001100100001000000100100101000000011101111101011011110100
decode	01	11011000101111000101101011100011101101111011101000100110100111100100001001100100001000000100100101000000011101111101011011110100	0	d8bc5ae3-b7ba-269e-4264-20494077d6f4
encode	01	e84efa06-d5fe-226d-3d98-abe320738a1c		11101000010011101111101000000110110101011111111000100010011011010011110110011000101010111110001100100000011100111000101000011100
decode	01	11101000010011101111101000000110110101011111111000100010011011010011110110011000101010111110001100100000011100111000101000011100	0	e84efa06-d5fe-226d-3d98-abe320738a1c
encode	01	c00ae5ad-4ad4-8272-69e2-4a54c6f9fd14		11000000000010101110010110101101010010101101010010000010011100100110100111100010010010100101010011000110111110011111110100010100
decode	01	11000000000010101110010110101101010010101101010010000010011100100110100111100010010010100101010011000110111110011111110100010100	0	c00ae5ad-4ad4-8272-69e2-4a54c6f9fd14
encode	01	3513ba9e-4261-5b8b-696d-1b7bf03ed4ba		00110101000100111011101010011110010000100110000101011011100010110110100101101101000110110111101111110000001111101101010010111010
decode	01	00110101000100111011101010011110010000100110000101011011100010110110100101101101000110110111101111110000001111101101010010111010	0	3513ba9e-4261-5b8b-696d-1b7bf03ed4ba
encode	01	80ae0fdc-0756-4f2d-adca-59874b048380		10000000101011100000111111011100000001110101011001001111001011011010110111001010010110011000011101001011000001001000001110000000
decode	01	10000000101011100000111111011100000001110101011001001111001011011010110111001010010110011000011101001011000001001000001110000000	0	80ae0fdc-0756-4f2d-adca-59874b048380
encode	01	00de2e0e-a5c3-933e-e011-86a670195a80		00000000110111100010111000001110101001011100001110010011001111101110000000010001100001101010011001110000000110010101101010000000
decode	01	00000000110111100010111000001110101001011100001110010011001111101110000000010001100001101010011001110000000110010101101010000000	0	00de2e0e-a5c3-933e-e011-86a670195a80
encode	01	6a658e51-bc0d-b021-b54e-c43ad44dbf37		01101010011001011000111001010001101111000000110110110000001000011011010101001110110001000011101011010100010011011011111100110111
decode	01	01101010011001011000111001010001101111000000110110110000001000011011010101001110110001000011101011010100010011011011111100110111	0	6a658e51-bc0d-b021-b54e-c43ad44dbf37
encode	01	5b789960-5c8d-f0b7-0a3a-db01f4516e40		01011011011110001001100101100000010111001000110111110000101101110000101000111010110110110000000111110100010100010110111001000000
decode	01	01011011011110001001100101100000010111001000110111110000101101110000101000111010110110110000000111110100010100010110111001000000	0	5b789960-5c8d-f0b7-0a3a-db01f4516e40
encode	01	11daa239-9fc5-37a1-c20c-a4fb4b9d7dda		00010001110110101010001000111001100111111100010100110111101000011100001000001100101001001111101101001011100111010111110111011010
decode	01	00010001110110101010001000111001100111111100010100110111101000011100001000001100101001001111101101001011100111010111110111011010	0	11daa239-9fc5-37a1-c20c-a4fb4b9d7dda
encode	01	271576b9-ae59-1820-66cc-3d8ae5565b96		00100111000101010111011010111001101011100101100100011000001000000110011011001100001111011000101011100101010101100101101110010110
decode	01	00100111000101010111011010111001101011100101100100011000001000000110011011001100001111011000101011100101010101100101101110010110	0	271576b9-ae59-1820-66cc-3d8ae5565b96
encode	01	242d7ee5-f767-deac-ad75-0679c825e0dc		00100100001011010111111011100101111101110110011111011110101011001010110101110101000001100111100111001000001001011110000011011100
decode	01	00100100001011010111111011100101111101110110011111011110101011001010110101110101000001100111100111001000001001011110000011011100	0	242d7ee5-f767-deac-ad75-0679c825e0dc
encode	01	1d55ecde-75b6-57d8-4139-a46b8b1654f3		00011101010101011110110011011110011101011011011001010111110110000100000100111001101001000110101110001011000101100101010011110011
decode	01	00011101010101011110110011011110011101011011011001010111110110000100000100111001101001000110101110001011000101100101010011110011	0	1d55ecde-75b6-57d8-4139-a46b8b1654f3
encode	01	b48d971b-3858-3bed-eef7-861fd594bb2e		10110100100011011001011100011011001110000101100000111011111011011110111011110111100001100001111111010101100101001011101100101110
decode	01	10110100100011011001011100011011001110000101100000111011111011011110111011110111100001100001111111010101100101001011101100101110	0	b48d971b-3858-3bed-eef7-861fd594bb2e
encode	01	3f1a80c7-f7db-2cbd-2492-dc5f34275a91		00111111000110101000000011000111111101111101101100101100101111010010010010010010110111000101111100110100001001110101101010010001
decode	01	00111111000110101000000011000111111101111101101100101100101111010010010010010010110111000101111100110100001001110101101010010001	0	3f1a80c7-f7db-2cbd-2492-dc5f34275a91
encode	01	7e31dff7-961d-3392-0ad1-248580f8aacc		01111110001100011101111111110111100101100001110100110011100100100000101011010001001001001000010110000000111110001010101011001100
decode	01	01111110001100011101111111110111100101100001110100110011100100100000101011010001001001001000010110000000111110001010101011001100	0	7e31dff7-961d-3392-0ad1-248580f8aacc
encode	01	a65cf922-28fe-5652-d7c7-1a6154447b91		10100110010111001111100100100010001010001111111001010110010100101101011111000111000110100110000101010100010001000111101110010001
decode	01	10100110010111001111100100100010001010001111111001010110010100101101011111000111000110100110000101010100010001000111101110010001	0	a65cf922-28fe-5652-d7c7-1a6154447b91
encode	01	0c54d49e-d811-562d-3259-cc216ff6629f		00001100010101001101010010011110110110000001000101010110001011010011001001011001110011000010000101101111111101100110001010011111
decode	01	00001100010101001101010010011110110110000001000101010110001011010011001001011001110011000010000101101111111101100110001010011111	0	0c54d49e-d811-562d-3259-cc216ff6629f
encode	01	6b5a90e2-9bc9-a082-c498-fa8c6ceffcfc		01101011010110101001000011100010100110111100100110100000100000101100010010011000111110101000110001101100111011111111110011111100
decode	01	01101011010110101001000011100010100110111100100110100000100000101100010010011000111110101000110001101100111011111111110011111100	0	6b5a90e2-9bc9-a082-c498-fa8c6ceffcfc
encode	01	799501b5-701f-646c-4a48-ee84a2fbad72		01111001100101010000000110110101011100000001111101100100011011000100101001001000111011101000010010100010111110111010110101110010
decode	01	01111001100101010000000110110101011100000001111101100100011011000100101001001000111011101000010010100010111110111010110101110010	0	799501b5-701f-646c-4a48-ee84a2fbad72
encode	01	02627b5b-a286-3708-c208-d689bf18dce5		00000010011000100111101101011011101000101000011000110111000010001100001000001000110101101000100110111111000110001101110011100101
decode	01	00000010011000100111101101011011101000101000011000110111000010001100001000001000110101101000100110111111000110001101110011100101	0	02627b5b-a286-3708-c208-d689bf18dce5
encode	01	a3ce50a5-f100-274d-73de-8d67a5df0d16		10100011110011100101000010100101111100010000000000100111010011010111001111011110100011010110011110100101110111110000110100010110
